Transaction_ID,Date,Time,Amount,Merchant,Category,Fraud,Fraud_Reason
T00001,2025-05-16,19:04,416,Shell,Groceries,0,Legitimate
T00002,2025-08-15,11:12,1403,Apple,Entertainment,0,Legitimate
T00003,2025-03-19,18:18,1814,Starbucks,Entertainment,0,Legitimate
T00004,2025-06-09,00:19,33545,Nike,Luxury,1,"Odd transaction hour, Risky category"
T00005,2025-04-18,12:26,615,Uber,Electronics,0,Legitimate
T00006,2025-08-31,01:56,1925,Shell,Dining,1,Odd transaction hour
T00007,2025-06-05,19:50,30726,Uber,Gambling,1,Risky category
T00008,2025-03-03,10:43,1500,BestBuy,Dining,0,Legitimate
T00009,2025-07-15,02:53,41127,eBay,Gambling,1,"Odd transaction hour, Risky category"
T00010,2025-07-25,00:24,181,Target,Dining,1,Odd transaction hour
T00011,2025-05-03,03:41,420,Amazon,Clothing,1,Odd transaction hour
T00012,2025-03-25,00:57,612,Shell,Clothing,1,Odd transaction hour
T00013,2025-03-03,19:58,1052,Target,Clothing,0,Legitimate
T00014,2025-01-09,06:46,591,Apple,Entertainment,0,Legitimate
T00015,2025-07-30,05:08,1602,Nike,Entertainment,1,Odd transaction hour
T00016,2025-04-12,02:43,1320,Apple,Fuel,1,Odd transaction hour
T00017,2025-06-10,00:46,1923,Amazon,Electronics,1,Odd transaction hour
T00018,2025-07-09,07:27,42148,Shell,Luxury,1,Risky category
T00019,2025-04-16,14:58,58,Apple,Dining,0,Legitimate
T00020,2025-03-28,18:47,37062,Nike,Gambling,1,Risky category
T00021,2025-03-30,00:27,708,Starbucks,Electronics,1,Odd transaction hour
T00022,2025-02-26,00:10,1358,Starbucks,Entertainment,1,Odd transaction hour
T00023,2025-08-24,06:19,73,Amazon,Entertainment,0,Legitimate
T00024,2025-04-11,20:33,716,Amazon,Electronics,0,Legitimate
T00025,2025-03-17,07:20,744,BestBuy,Entertainment,0,Legitimate
T00026,2025-07-10,23:30,45098,Shell,Gambling,1,"Odd transaction hour, Risky category"
T00027,2025-03-25,00:20,692,Apple,Entertainment,1,Odd transaction hour
T00028,2025-06-20,14:16,746,Nike,Electronics,0,Legitimate
T00029,2025-05-03,23:59,1884,BestBuy,Entertainment,1,Odd transaction hour
T00030,2025-05-15,17:02,599,BestBuy,Entertainment,0,Legitimate
T00031,2025-05-21,09:13,1181,Apple,Clothing,0,Legitimate
T00032,2025-08-15,15:47,189,Uber,Groceries,0,Legitimate
T00033,2025-07-04,13:20,648,Target,Entertainment,0,Legitimate
T00034,2025-02-08,03:04,833,Walmart,Entertainment,1,Odd transaction hour
T00035,2025-04-25,05:20,1875,eBay,Entertainment,1,Odd transaction hour
T00036,2025-08-23,02:59,756,Uber,Fuel,1,Odd transaction hour
T00037,2025-07-06,03:20,956,Amazon,Clothing,1,Odd transaction hour
T00038,2025-08-19,19:47,1538,eBay,Groceries,0,Legitimate
T00039,2025-08-13,12:04,1905,Walmart,Groceries,0,Legitimate
T00040,2025-01-31,05:57,741,Apple,Groceries,1,Odd transaction hour
T00041,2025-06-03,13:29,1308,Shell,Groceries,0,Legitimate
T00042,2025-01-20,09:34,1876,Target,Fuel,0,Legitimate
T00043,2025-04-05,23:32,1800,Amazon,Fuel,1,Odd transaction hour
T00044,2025-02-23,18:10,480,Target,Dining,0,Legitimate
T00045,2025-01-21,13:28,179,Amazon,Entertainment,0,Legitimate
T00046,2025-05-24,03:26,5181,Nike,Gambling,1,"Odd transaction hour, Risky category"
T00047,2025-06-21,04:07,1107,Apple,Clothing,1,Odd transaction hour
T00048,2025-01-08,08:39,1562,eBay,Entertainment,0,Legitimate
T00049,2025-07-17,15:32,327,Target,Clothing,0,Legitimate
T00050,2025-08-25,08:18,1787,Apple,Dining,0,Legitimate
T00051,2025-04-23,03:58,649,BestBuy,Electronics,1,Odd transaction hour
T00052,2025-08-29,23:52,1060,BestBuy,Electronics,1,Odd transaction hour
T00053,2025-08-07,07:43,1604,Shell,Groceries,0,Legitimate
T00054,2025-02-14,00:38,48283,Uber,Luxury,1,"Odd transaction hour, Risky category"
T00055,2025-01-29,06:43,565,BestBuy,Fuel,0,Legitimate
T00056,2025-03-29,05:08,35591,Starbucks,Gambling,1,"Odd transaction hour, Risky category"
T00057,2025-06-21,10:32,53080,Starbucks,Luxury,1,"High-value transaction, Risky category"
T00058,2025-08-14,11:57,1200,Amazon,Dining,0,Legitimate
T00059,2025-05-11,13:09,816,Shell,Entertainment,0,Legitimate
T00060,2025-01-04,11:35,1961,Shell,Fuel,0,Legitimate
T00061,2025-03-03,05:36,9048,Nike,Luxury,1,"Odd transaction hour, Risky category"
T00062,2025-02-08,23:50,48103,Starbucks,Gambling,1,"Odd transaction hour, Risky category"
T00063,2025-04-07,17:42,543,Nike,Dining,0,Legitimate
T00064,2025-01-27,22:38,256,Target,Groceries,0,Legitimate
T00065,2025-03-18,21:41,40948,Shell,Luxury,1,Risky category
